first_name,last_name,team,goals,assists,points
Marie-Philip,Poulin,Montréal Victoire,17,6,23
Tereza,Vanišová,Ottawa Charge,15,5,20
Sarah,Fillier,New York Sirens,12,15,27
Daryl,Watts,Toronto Sceptres,11,15,26
Kendall,Coyne Schofield,Minnesota Frost,10,12,22
Laura,Stacey,Montréal Victoire,10,10,20
Alex,Carpenter,New York Sirens,10,9,19
Hannah,Miller,Toronto Sceptres,10,14,24
Jessie,Eldridge,New York Sirens,9,13,22
Emily,Clark,Ottawa Charge,9,8,17
Jesse,Compher,Toronto Sceptres,9,8,17
Michela,Cava,Minnesota Frost,9,8,17
Shiann,Darkangelo,Ottawa Charge,8,6,14
Taylor,Heise,Minnesota Frost,8,13,21
Ella,Shelton,New York Sirens,7,7,14
Britta,Curl-Salemme,Minnesota Frost,7,6,13
Brooke,McQuigge,Minnesota Frost,7,6,13
Abby,Roque,New York Sirens,6,11,17
Renata,Fast,Toronto Sceptres,6,15,21
Abby,Boreen,Montréal Victoire,6,7,13
